id,nombre,edad
1,Persona_1,45
2,Persona_2,70
3,Persona_3,41
4,Persona_4,48
5,Persona_5,56
6,Persona_6,35
7,Persona_7,29
8,Persona_8,25
9,Persona_9,48
10,Persona_10,53
11,Persona_11,41
12,Persona_12,52
13,Persona_13,59
14,Persona_14,25
15,Persona_15,29
16,Persona_16,69
17,Persona_17,44
18,Persona_18,19
19,Persona_19,60
20,Persona_20,69
21,Persona_21,58
22,Persona_22,63
23,Persona_23,32
24,Persona_24,32
25,Persona_25,61
26,Persona_26,57
27,Persona_27,61
28,Persona_28,29
29,Persona_29,27
30,Persona_30,27
31,Persona_31,40
32,Persona_32,65
33,Persona_33,73
34,Persona_34,43
35,Persona_35,63
36,Persona_36,76
37,Persona_37,76
38,Persona_38,48
39,Persona_39,20
40,Persona_40,76
41,Persona_41,59
42,Persona_42,59
43,Persona_43,55
44,Persona_44,25
45,Persona_45,31
46,Persona_46,49
47,Persona_47,71
48,Persona_48,58
49,Persona_49,55
50,Persona_50,57
51,Persona_51,56
52,Persona_52,21
53,Persona_53,22
54,Persona_54,75
55,Persona_55,37
56,Persona_56,40
57,Persona_57,47
58,Persona_58,46
59,Persona_59,63
60,Persona_60,18
61,Persona_61,73
62,Persona_62,52
63,Persona_63,50
64,Persona_64,57
65,Persona_65,64
66,Persona_66,76
67,Persona_67,19
68,Persona_68,49
69,Persona_69,24
70,Persona_70,72
71,Persona_71,51
72,Persona_72,46
73,Persona_73,64
74,Persona_74,40
75,Persona_75,47
76,Persona_76,62
77,Persona_77,76
78,Persona_78,37
79,Persona_79,59
80,Persona_80,67
81,Persona_81,71
82,Persona_82,76
83,Persona_83,20
84,Persona_84,62
85,Persona_85,57
86,Persona_86,53
87,Persona_87,73
88,Persona_88,58
89,Persona_89,47
90,Persona_90,21
91,Persona_91,22
92,Persona_92,76
93,Persona_93,41
94,Persona_94,21
95,Persona_95,51
96,Persona_96,22
97,Persona_97,76
98,Persona_98,20
99,Persona_99,42
100,Persona_100,19
101,Persona_101,68
102,Persona_102,20
103,Persona_103,54
104,Persona_104,55
105,Persona_105,54
106,Persona_106,28
107,Persona_107,33
108,Persona_108,73
